Total number of shapes is 5000 
Shapes are:
0: Circle, x = 68, y = 41, radius = 200, perimeter = 1256, color = LIGHT_BLUE
1: Circle, x = 141, y = 196, radius = 200, perimeter = 1256, color = LIGHT_BLUE
2: Circle, x = 122, y = 107, radius = 200, perimeter = 1256, color = YELLOW
3: Circle, x = 126, y = 139, radius = 200, perimeter = 1256, color = GREEN
4: Circle, x = 3, y = 45, radius = 200, perimeter = 1256, color = BLUE
5: Circle, x = 146, y = 126, radius = 200, perimeter = 1256, color = ORANGE
6: Circle, x = 31, y = 79, radius = 200, perimeter = 1256, color = ORANGE
7: Circle, x = 63, y = 158, radius = 200, perimeter = 1256, color = YELLOW
8: Circle, x = 5, y = 91, radius = 200, perimeter = 1256, color = YELLOW
9: Circle, x = 147, y = 150, radius = 200, perimeter = 1256, color = ORANGE
10: Circle, x = 89, y = 50, radius = 199, perimeter = 1249.72, color = GREEN
11: Circle, x = 151, y = 20, radius = 199, perimeter = 1249.72, color = BLUE
12: Circle, x = 133, y = 182, radius = 199, perimeter = 1249.72, color = GREEN
13: Circle, x = 14, y = 67, radius = 199, perimeter = 1249.72, color = LIGHT_BLUE
14: Circle, x = 183, y = 197, radius = 199, perimeter = 1249.72, color = ORANGE
15: Circle, x = 97, y = 165, radius = 198, perimeter = 1243.44, color = VIOLET
16: Circle, x = 135, y = 21, radius = 198, perimeter = 1243.44, color = BLUE
17: Circle, x = 90, y = 137, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
18: Circle, x = 13, y = 99, radius = 198, perimeter = 1243.44, color = RED
19: Circle, x = 165, y = 18, radius = 198, perimeter = 1243.44, color = ORANGE
20: Circle, x = 129, y = 193, radius = 198, perimeter = 1243.44, color = ORANGE
21: Circle, x = 31, y = 111, radius = 198, perimeter = 1243.44, color = YELLOW
22: Circle, x = 13, y = 132, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
23: Circle, x = 179, y = 74, radius = 198, perimeter = 1243.44, color = VIOLET
24: Circle, x = 64, y = 21, radius = 198, perimeter = 1243.44, color = BLUE
25: Circle, x = 169, y = 72, radius = 198, perimeter = 1243.44, color = VIOLET
26: Circle, x = 177, y = 78, radius = 198, perimeter = 1243.44, color = ORANGE
27: Circle, x = 154, y = 9, radius = 197, perimeter = 1237.16, color = BLUE
28: Circle, x = 62, y = 164, radius = 197, perimeter = 1237.16, color = ORANGE
29: Circle, x = 40, y = 128, radius = 197, perimeter = 1237.16, color = BLUE
30: Circle, x = 57, y = 176, radius = 197, perimeter = 1237.16, color = LIGHT_BLUE
31: Circle, x = 161, y = 44, radius = 197, perimeter = 1237.16, color = LIGHT_BLUE
32: Circle, x = 122, y = 174, radius = 197, perimeter = 1237.16, color = BLUE
33: Circle, x = 145, y = 20, radius = 197, perimeter = 1237.16, color = GREEN
34: Circle, x = 6, y = 48, radius = 196, perimeter = 1230.88, color = RED
35: Circle, x = 125, y = 121, radius = 196, perimeter = 1230.88, color = BLUE
36: Circle, x = 95, y = 29, radius = 196, perimeter = 1230.88, color = VIOLET
37: Circle, x = 94, y = 59, radius = 196, perimeter = 1230.88, color = GREEN
38: Circle, x = 89, y = 124, radius = 195, perimeter = 1224.6, color = RED
39: Circle, x = 13, y = 106, radius = 195, perimeter = 1224.6, color = ORANGE
40: Circle, x = 41, y = 15, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
41: Circle, x = 123, y = 95, radius = 195, perimeter = 1224.6, color = RED
42: Circle, x = 52, y = 176, radius = 195, perimeter = 1224.6, color = GREEN
43: Circle, x = 145, y = 19, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
44: Circle, x = 20, y = 131, radius = 195, perimeter = 1224.6, color = RED
45: Circle, x = 64, y = 16, radius = 195, perimeter = 1224.6, color = RED
46: Circle, x = 44, y = 183, radius = 195, perimeter = 1224.6, color = LIGHT_BLUE
47: Circle, x = 151, y = 98, radius = 194, perimeter = 1218.32, color = YELLOW
48: Circle, x = 165, y = 180, radius = 194, perimeter = 1218.32, color = ORANGE
49: Circle, x = 99, y = 198, radius = 194, perimeter = 1218.32, color = LIGHT_BLUE
50: Circle, x = 194, y = 181, radius = 194, perimeter = 1218.32, color = YELLOW
51: Circle, x = 102, y = 125, radius = 194, perimeter = 1218.32, color = RED
52: Circle, x = 36, y = 148, radius = 194, perimeter = 1218.32, color = RED
53: Circle, x = 47, y = 147, radius = 194, perimeter = 1218.32, color = BLUE
54: Circle, x = 89, y = 139, radius = 194, perimeter = 1218.32, color = VIOLET
55: Circle, x = 135, y = 70, radius = 194, perimeter = 1218.32, color = RED
56: Circle, x = 170, y = 134, radius = 194, perimeter = 1218.32, color = LIGHT_BLUE
57: Circle, x = 147, y = 165, radius = 194, perimeter = 1218.32, color = RED
58: Circle, x = 57, y = 74, radius = 193, perimeter = 1212.04, color = RED
59: Circle, x = 51, y = 48, radius = 193, perimeter = 1212.04, color = ORANGE
60: Circle, x = 6, y = 139, radius = 193, perimeter = 1212.04, color = VIOLET
61: Circle, x = 21, y = 174, radius = 193, perimeter = 1212.04, color = RED
62: Circle, x = 197, y = 198, radius = 193, perimeter = 1212.04, color = GREEN
63: Circle, x = 128, y = 166, radius = 193, perimeter = 1212.04, color = BLUE
64: Circle, x = 184, y = 93, radius = 193, perimeter = 1212.04, color = RED
65: Circle, x = 39, y = 196, radius = 193, perimeter = 1212.04, color = RED
66: Circle, x = 26, y = 114, radius = 193, perimeter = 1212.04, color = VIOLET
67: Circle, x = 169, y = 142, radius = 192, perimeter = 1205.76, color = VIOLET
68: Circle, x = 90, y = 178, radius = 192, perimeter = 1205.76, color = RED
69: Circle, x = 144, y = 133, radius = 192, perimeter = 1205.76, color = ORANGE
70: Circle, x = 52, y = 66, radius = 192, perimeter = 1205.76, color = LIGHT_BLUE
71: Circle, x = 53, y = 33, radius = 192, perimeter = 1205.76, color = GREEN
72: Circle, x = 84, y = 46, radius = 192, perimeter = 1205.76, color = LIGHT_BLUE
73: Circle, x = 121, y = 26, radius = 192, perimeter = 1205.76, color = YELLOW
74: Circle, x = 143, y = 43, radius = 191, perimeter = 1199.48, color = ORANGE
75: Circle, x = 188, y = 92, radius = 191, perimeter = 1199.48, color = BLUE
76: Circle, x = 168, y = 119, radius = 191, perimeter = 1199.48, color = VIOLET
77: Circle, x = 165, y = 143, radius = 191, perimeter = 1199.48, color = VIOLET
78: Circle, x = 73, y = 144, radius = 191, perimeter = 1199.48, color = YELLOW
79: Circle, x = 93, y = 73, radius = 191, perimeter = 1199.48, color = BLUE
80: Circle, x = 29, y = 198, radius = 191, perimeter = 1199.48, color = ORANGE
81: Circle, x = 175, y = 102, radius = 190, perimeter = 1193.2, color = RED
82: Circle, x = 194, y = 150, radius = 190, perimeter = 1193.2, color = VIOLET
83: Circle, x = 89, y = 192, radius = 190, perimeter = 1193.2, color = LIGHT_BLUE
84: Circle, x = 145, y = 171, radius = 190, perimeter = 1193.2, color = RED
85: Circle, x = 138, y = 25, radius = 190, perimeter = 1193.2, color = RED
86: Circle, x = 130, y = 106, radius = 190, perimeter = 1193.2, color = LIGHT_BLUE
87: Circle, x = 159, y = 81, radius = 190, perimeter = 1193.2, color = ORANGE
88: Circle, x = 5, y = 119, radius = 189, perimeter = 1186.92, color = VIOLET
89: Circle, x = 183, y = 87, radius = 189, perimeter = 1186.92, color = YELLOW
90: Circle, x = 153, y = 16, radius = 189, perimeter = 1186.92, color = BLUE
91: Circle, x = 39, y = 170, radius = 189, perimeter = 1186.92, color = ORANGE
92: Circle, x = 123, y = 7, radius = 189, perimeter = 1186.92, color = LIGHT_BLUE
93: Circle, x = 148, y = 177, radius = 189, perimeter = 1186.92, color = LIGHT_BLUE
94: Circle, x = 103, y = 150, radius = 189, perimeter = 1186.92, color = VIOLET
95: Circle, x = 146, y = 80, radius = 189, perimeter = 1186.92, color = LIGHT_BLUE
96: Circle, x = 87, y = 73, radius = 188, perimeter = 1180.64, color = VIOLET
97: Circle, x = 19, y = 90, radius = 188, perimeter = 1180.64, color = ORANGE
98: Circle, x = 146, y = 116, radius = 188, perimeter = 1180.64, color = RED
99: Circle, x = 36, y = 111, radius = 188, perimeter = 1180.64, color = BLUE
100: Circle, x = 96, y = 78, radius = 188, perimeter = 1180.64, color = BLUE
101: Circle, x = 83, y = 50, radius = 188, perimeter = 1180.64, color = VIOLET
102: Circle, x = 52, y = 41, radius = 188, perimeter = 1180.64, color = ORANGE
103: Circle, x = 51, y = 127, radius = 188, perimeter = 1180.64, color = ORANGE
104: Circle, x = 183, y = 40, radius = 188, perimeter = 1180.64, color = RED
105: Circle, x = 165, y = 167, radius = 188, perimeter = 1180.64, color = VIOLET
106: Circle, x = 167, y = 167, radius = 187, perimeter = 1174.36, color = ORANGE
107: Circle, x = 44, y = 163, radius = 187, perimeter = 1174.36, color = BLUE
108: Circle, x = 54, y = 1, radius = 187, perimeter = 1174.36, color = GREEN
109: Circle, x = 172, y = 113, radius = 187, perimeter = 1174.36, color = GREEN
110: Circle, x = 155, y = 134, radius = 187, perimeter = 1174.36, color = ORANGE
111: Circle, x = 41, y = 199, radius = 187, perimeter = 1174.36, color = VIOLET
112: Circle, x = 151, y = 155, radius = 187, perimeter = 1174.36, color = LIGHT_BLUE
113: Circle, x = 46, y = 93, radius = 187, perimeter = 1174.36, color = ORANGE
114: Circle, x = 70, y = 58, radius = 187, perimeter = 1174.36, color = YELLOW
115: Circle, x = 117, y = 189, radius = 187, perimeter = 1174.36, color = YELLOW
116: Circle, x = 55, y = 7, radius = 186, perimeter = 1168.08, color = RED
