Total number of shapes is 10000 
Shapes are:
0: Circle, x = 89, y = 177, radius = 200, perimeter = 1256, color = ORANGE
1: Circle, x = 89, y = 85, radius = 200, perimeter = 1256, color = BLUE
2: Circle, x = 169, y = 168, radius = 200, perimeter = 1256, color = ORANGE
3: Circle, x = 184, y = 90, radius = 200, perimeter = 1256, color = BLUE
4: Circle, x = 196, y = 119, radius = 200, perimeter = 1256, color = RED
5: Circle, x = 92, y = 135, radius = 200, perimeter = 1256, color = BLUE
6: Circle, x = 184, y = 159, radius = 200, perimeter = 1256, color = ORANGE
7: Circle, x = 198, y = 75, radius = 200, perimeter = 1256, color = VIOLET
8: Circle, x = 89, y = 66, radius = 200, perimeter = 1256, color = BLUE
9: Circle, x = 17, y = 152, radius = 200, perimeter = 1256, color = VIOLET
10: Circle, x = 42, y = 6, radius = 200, perimeter = 1256, color = RED
11: Circle, x = 192, y = 136, radius = 200, perimeter = 1256, color = VIOLET
12: Circle, x = 61, y = 82, radius = 200, perimeter = 1256, color = LIGHT_BLUE
13: Circle, x = 182, y = 69, radius = 200, perimeter = 1256, color = VIOLET
14: Circle, x = 165, y = 75, radius = 200, perimeter = 1256, color = LIGHT_BLUE
15: Circle, x = 19, y = 95, radius = 200, perimeter = 1256, color = ORANGE
16: Circle, x = 69, y = 120, radius = 200, perimeter = 1256, color = YELLOW
17: Circle, x = 28, y = 26, radius = 199, perimeter = 1249.72, color = RED
18: Circle, x = 138, y = 68, radius = 199, perimeter = 1249.72, color = GREEN
19: Circle, x = 91, y = 155, radius = 199, perimeter = 1249.72, color = LIGHT_BLUE
20: Circle, x = 96, y = 178, radius = 199, perimeter = 1249.72, color = LIGHT_BLUE
21: Circle, x = 188, y = 117, radius = 199, perimeter = 1249.72, color = VIOLET
22: Circle, x = 171, y = 145, radius = 199, perimeter = 1249.72, color = YELLOW
23: Circle, x = 37, y = 28, radius = 199, perimeter = 1249.72, color = BLUE
24: Circle, x = 186, y = 116, radius = 199, perimeter = 1249.72, color = LIGHT_BLUE
25: Circle, x = 25, y = 36, radius = 199, perimeter = 1249.72, color = GREEN
26: Circle, x = 182, y = 31, radius = 199, perimeter = 1249.72, color = GREEN
27: Circle, x = 181, y = 188, radius = 199, perimeter = 1249.72, color = ORANGE
28: Circle, x = 25, y = 38, radius = 199, perimeter = 1249.72, color = VIOLET
29: Circle, x = 111, y = 7, radius = 199, perimeter = 1249.72, color = GREEN
