Total number of shapes is 1000 
Shapes are:
0: Circle, x = 105, y = 198, radius = 200, perimeter = 1256, color = GREEN
1: Circle, x = 33, y = 60, radius = 199, perimeter = 1249.72, color = GREEN
2: Circle, x = 93, y = 43, radius = 199, perimeter = 1249.72, color = ORANGE
3: Circle, x = 165, y = 90, radius = 199, perimeter = 1249.72, color = YELLOW
4: Circle, x = 111, y = 94, radius = 199, perimeter = 1249.72, color = BLUE
5: Circle, x = 118, y = 157, radius = 198, perimeter = 1243.44, color = LIGHT_BLUE
6: Circle, x = 173, y = 49, radius = 197, perimeter = 1237.16, color = YELLOW
7: Circle, x = 71, y = 21, radius = 196, perimeter = 1230.88, color = RED
8: Circle, x = 167, y = 168, radius = 196, perimeter = 1230.88, color = LIGHT_BLUE
9: Circle, x = 87, y = 20, radius = 196, perimeter = 1230.88, color = GREEN
10: Circle, x = 147, y = 104, radius = 196, perimeter = 1230.88, color = GREEN
11: Circle, x = 38, y = 167, radius = 195, perimeter = 1224.6, color = ORANGE
12: Circle, x = 31, y = 15, radius = 195, perimeter = 1224.6, color = RED
13: Circle, x = 24, y = 158, radius = 194, perimeter = 1218.32, color = YELLOW
14: Circle, x = 144, y = 46, radius = 193, perimeter = 1212.04, color = LIGHT_BLUE
15: Circle, x = 9, y = 52, radius = 193, perimeter = 1212.04, color = RED
16: Circle, x = 9, y = 49, radius = 192, perimeter = 1205.76, color = GREEN
17: Circle, x = 38, y = 16, radius = 191, perimeter = 1199.48, color = VIOLET
18: Circle, x = 182, y = 196, radius = 189, perimeter = 1186.92, color = ORANGE
19: Circle, x = 104, y = 122, radius = 188, perimeter = 1180.64, color = RED
20: Circle, x = 8, y = 28, radius = 187, perimeter = 1174.36, color = LIGHT_BLUE
21: Circle, x = 158, y = 188, radius = 187, perimeter = 1174.36, color = GREEN
22: Circle, x = 189, y = 7, radius = 187, perimeter = 1174.36, color = BLUE
23: Circle, x = 175, y = 109, radius = 185, perimeter = 1161.8, color = RED
24: Circle, x = 172, y = 5, radius = 185, perimeter = 1161.8, color = BLUE
25: Circle, x = 119, y = 127, radius = 185, perimeter = 1161.8, color = ORANGE
26: Circle, x = 49, y = 74, radius = 184, perimeter = 1155.52, color = BLUE
27: Circle, x = 190, y = 28, radius = 183, perimeter = 1149.24, color = BLUE
28: Circle, x = 137, y = 56, radius = 181, perimeter = 1136.68, color = YELLOW
29: Circle, x = 135, y = 168, radius = 181, perimeter = 1136.68, color = GREEN
30: Circle, x = 126, y = 66, radius = 181, perimeter = 1136.68, color = LIGHT_BLUE
31: Circle, x = 40, y = 73, radius = 180, perimeter = 1130.4, color = YELLOW
32: Circle, x = 131, y = 123, radius = 179, perimeter = 1124.12, color = LIGHT_BLUE
33: Circle, x = 199, y = 12, radius = 178, perimeter = 1117.84, color = ORANGE
34: Circle, x = 49, y = 153, radius = 178, perimeter = 1117.84, color = YELLOW
35: Circle, x = 188, y = 87, radius = 178, perimeter = 1117.84, color = GREEN
36: Circle, x = 102, y = 170, radius = 177, perimeter = 1111.56, color = RED
37: Circle, x = 128, y = 108, radius = 175, perimeter = 1099, color = GREEN
38: Circle, x = 187, y = 137, radius = 174, perimeter = 1092.72, color = GREEN
39: Circle, x = 67, y = 98, radius = 173, perimeter = 1086.44, color = YELLOW
40: Circle, x = 170, y = 96, radius = 172, perimeter = 1080.16, color = RED
41: Circle, x = 199, y = 116, radius = 172, perimeter = 1080.16, color = YELLOW
42: Circle, x = 64, y = 159, radius = 172, perimeter = 1080.16, color = RED
43: Circle, x = 47, y = 3, radius = 171, perimeter = 1073.88, color = ORANGE
44: Circle, x = 106, y = 194, radius = 169, perimeter = 1061.32, color = BLUE
45: Circle, x = 169, y = 29, radius = 168, perimeter = 1055.04, color = BLUE
46: Circle, x = 80, y = 163, radius = 167, perimeter = 1048.76, color = GREEN
47: Circle, x = 198, y = 62, radius = 167, perimeter = 1048.76, color = ORANGE
48: Circle, x = 31, y = 49, radius = 165, perimeter = 1036.2, color = ORANGE
49: Circle, x = 166, y = 170, radius = 165, perimeter = 1036.2, color = RED
50: Circle, x = 39, y = 102, radius = 164, perimeter = 1029.92, color = YELLOW
51: Circle, x = 47, y = 109, radius = 164, perimeter = 1029.92, color = LIGHT_BLUE
52: Circle, x = 50, y = 50, radius = 164, perimeter = 1029.92, color = ORANGE
53: Circle, x = 185, y = 100, radius = 164, perimeter = 1029.92, color = YELLOW
54: Circle, x = 134, y = 139, radius = 163, perimeter = 1023.64, color = VIOLET
55: Circle, x = 151, y = 81, radius = 162, perimeter = 1017.36, color = RED
56: Circle, x = 187, y = 41, radius = 160, perimeter = 1004.8, color = VIOLET
57: Circle, x = 24, y = 97, radius = 159, perimeter = 998.52, color = GREEN
58: Circle, x = 109, y = 96, radius = 158, perimeter = 992.24, color = RED
59: Circle, x = 172, y = 140, radius = 157, perimeter = 985.96, color = YELLOW
60: Circle, x = 46, y = 189, radius = 157, perimeter = 985.96, color = LIGHT_BLUE
61: Circle, x = 39, y = 161, radius = 157, perimeter = 985.96, color = YELLOW
62: Circle, x = 153, y = 191, radius = 156, perimeter = 979.68, color = LIGHT_BLUE
63: Circle, x = 192, y = 191, radius = 155, perimeter = 973.4, color = YELLOW
64: Circle, x = 77, y = 153, radius = 153, perimeter = 960.84, color = VIOLET
65: Circle, x = 186, y = 169, radius = 153, perimeter = 960.84, color = BLUE
66: Circle, x = 23, y = 24, radius = 152, perimeter = 954.56, color = ORANGE
67: Circle, x = 193, y = 160, radius = 152, perimeter = 954.56, color = ORANGE
68: Circle, x = 98, y = 94, radius = 152, perimeter = 954.56, color = GREEN
69: Circle, x = 145, y = 103, radius = 151, perimeter = 948.28, color = ORANGE
70: Circle, x = 23, y = 64, radius = 151, perimeter = 948.28, color = VIOLET
71: Circle, x = 7, y = 9, radius = 150, perimeter = 942, color = VIOLET
72: Circle, x = 64, y = 46, radius = 149, perimeter = 935.72, color = YELLOW
73: Circle, x = 74, y = 65, radius = 146, perimeter = 916.88, color = VIOLET
74: Circle, x = 167, y = 84, radius = 146, perimeter = 916.88, color = BLUE
75: Circle, x = 126, y = 47, radius = 146, perimeter = 916.88, color = BLUE
76: Circle, x = 34, y = 28, radius = 146, perimeter = 916.88, color = RED
77: Circle, x = 61, y = 185, radius = 145, perimeter = 910.6, color = VIOLET
78: Circle, x = 114, y = 108, radius = 144, perimeter = 904.32, color = LIGHT_BLUE
79: Circle, x = 63, y = 77, radius = 144, perimeter = 904.32, color = LIGHT_BLUE
80: Circle, x = 70, y = 157, radius = 144, perimeter = 904.32, color = RED
81: Circle, x = 132, y = 98, radius = 143, perimeter = 898.04, color = YELLOW
82: Circle, x = 64, y = 127, radius = 143, perimeter = 898.04, color = VIOLET
83: Circle, x = 40, y = 36, radius = 142, perimeter = 891.76, color = YELLOW
84: Circle, x = 136, y = 70, radius = 142, perimeter = 891.76, color = GREEN
85: Circle, x = 11, y = 40, radius = 141, perimeter = 885.48, color = ORANGE
86: Circle, x = 66, y = 71, radius = 141, perimeter = 885.48, color = YELLOW
87: Circle, x = 126, y = 29, radius = 140, perimeter = 879.2, color = BLUE
88: Circle, x = 130, y = 171, radius = 140, perimeter = 879.2, color = GREEN
89: Circle, x = 86, y = 72, radius = 139, perimeter = 872.92, color = RED
90: Circle, x = 141, y = 153, radius = 138, perimeter = 866.64, color = VIOLET
91: Circle, x = 77, y = 74, radius = 138, perimeter = 866.64, color = YELLOW
92: Circle, x = 101, y = 156, radius = 136, perimeter = 854.08, color = ORANGE
93: Circle, x = 170, y = 192, radius = 134, perimeter = 841.52, color = LIGHT_BLUE
94: Circle, x = 137, y = 104, radius = 134, perimeter = 841.52, color = RED
95: Circle, x = 193, y = 168, radius = 133, perimeter = 835.24, color = RED
96: Circle, x = 173, y = 127, radius = 133, perimeter = 835.24, color = RED
97: Circle, x = 185, y = 113, radius = 133, perimeter = 835.24, color = BLUE
98: Circle, x = 108, y = 6, radius = 132, perimeter = 828.96, color = ORANGE
99: Circle, x = 56, y = 158, radius = 132, perimeter = 828.96, color = RED
100: Circle, x = 142, y = 110, radius = 131, perimeter = 822.68, color = YELLOW
101: Circle, x = 155, y = 150, radius = 131, perimeter = 822.68, color = GREEN
102: Circle, x = 96, y = 110, radius = 129, perimeter = 810.12, color = LIGHT_BLUE
103: Circle, x = 69, y = 101, radius = 128, perimeter = 803.84, color = GREEN
104: Circle, x = 59, y = 171, radius = 128, perimeter = 803.84, color = LIGHT_BLUE
105: Circle, x = 77, y = 34, radius = 128, perimeter = 803.84, color = VIOLET
106: Circle, x = 141, y = 183, radius = 128, perimeter = 803.84, color = LIGHT_BLUE
107: Circle, x = 157, y = 193, radius = 128, perimeter = 803.84, color = RED
108: Circle, x = 42, y = 113, radius = 127, perimeter = 797.56, color = LIGHT_BLUE
109: Circle, x = 56, y = 93, radius = 124, perimeter = 778.72, color = ORANGE
110: Circle, x = 195, y = 27, radius = 123, perimeter = 772.44, color = YELLOW
111: Circle, x = 138, y = 87, radius = 122, perimeter = 766.16, color = BLUE
112: Circle, x = 59, y = 50, radius = 122, perimeter = 766.16, color = ORANGE
113: Circle, x = 156, y = 90, radius = 121, perimeter = 759.88, color = ORANGE
114: Circle, x = 40, y = 10, radius = 121, perimeter = 759.88, color = RED
115: Circle, x = 121, y = 97, radius = 121, perimeter = 759.88, color = RED
116: Circle, x = 117, y = 7, radius = 120, perimeter = 753.6, color = ORANGE
117: Circle, x = 197, y = 37, radius = 119, perimeter = 747.32, color = BLUE
118: Circle, x = 132, y = 197, radius = 119, perimeter = 747.32, color = GREEN
119: Circle, x = 142, y = 76, radius = 119, perimeter = 747.32, color = LIGHT_BLUE
120: Circle, x = 24, y = 32, radius = 119, perimeter = 747.32, color = ORANGE
121: Circle, x = 128, y = 69, radius = 118, perimeter = 741.04, color = LIGHT_BLUE
122: Circle, x = 50, y = 152, radius = 116, perimeter = 728.48, color = VIOLET
123: Circle, x = 168, y = 99, radius = 114, perimeter = 715.92, color = RED
124: Circle, x = 125, y = 38, radius = 113, perimeter = 709.64, color = YELLOW
125: Circle, x = 32, y = 149, radius = 112, perimeter = 703.36, color = VIOLET
126: Circle, x = 117, y = 105, radius = 110, perimeter = 690.8, color = VIOLET
127: Circle, x = 129, y = 72, radius = 109, perimeter = 684.52, color = GREEN
128: Circle, x = 81, y = 142, radius = 109, perimeter = 684.52, color = ORANGE
129: Circle, x = 108, y = 188, radius = 109, perimeter = 684.52, color = RED
130: Circle, x = 109, y = 2, radius = 109, perimeter = 684.52, color = YELLOW
131: Circle, x = 163, y = 101, radius = 107, perimeter = 671.96, color = VIOLET
132: Circle, x = 142, y = 123, radius = 106, perimeter = 665.68, color = GREEN
133: Circle, x = 149, y = 17, radius = 106, perimeter = 665.68, color = RED
134: Circle, x = 163, y = 80, radius = 105, perimeter = 659.4, color = VIOLET
135: Circle, x = 189, y = 56, radius = 104, perimeter = 653.12, color = LIGHT_BLUE
136: Circle, x = 77, y = 168, radius = 104, perimeter = 653.12, color = GREEN
137: Circle, x = 2, y = 105, radius = 103, perimeter = 646.84, color = BLUE
138: Circle, x = 139, y = 15, radius = 102, perimeter = 640.56, color = YELLOW
139: Circle, x = 43, y = 186, radius = 102, perimeter = 640.56, color = RED
140: Rectangle, x_up_left = 30, y_up_left = 155, x_down_right = 200, y_down_right = 7, perimeter = 636, color = BLUE
141: Circle, x = 180, y = 33, radius = 101, perimeter = 634.28, color = ORANGE
142: Circle, x = 95, y = 27, radius = 101, perimeter = 634.28, color = GREEN
143: Circle, x = 199, y = 146, radius = 101, perimeter = 634.28, color = RED
144: Circle, x = 171, y = 171, radius = 101, perimeter = 634.28, color = YELLOW
145: Circle, x = 117, y = 29, radius = 99, perimeter = 621.72, color = YELLOW
146: Circle, x = 13, y = 57, radius = 99, perimeter = 621.72, color = VIOLET
147: Rectangle, x_up_left = 25, y_up_left = 197, x_down_right = 145, y_down_right = 9, perimeter = 616, color = RED
148: Rectangle, x_up_left = 17, y_up_left = 164, x_down_right = 175, y_down_right = 14, perimeter = 616, color = RED
149: Circle, x = 164, y = 101, radius = 98, perimeter = 615.44, color = YELLOW
150: Rectangle, x_up_left = 48, y_up_left = 195, x_down_right = 197, y_down_right = 37, perimeter = 614, color = BLUE
151: Rectangle, x_up_left = 38, y_up_left = 164, x_down_right = 184, y_down_right = 5, perimeter = 610, color = LIGHT_BLUE
152: Rectangle, x_up_left = 42, y_up_left = 185, x_down_right = 190, y_down_right = 28, perimeter = 610, color = ORANGE
153: Circle, x = 71, y = 16, radius = 97, perimeter = 609.16, color = VIOLET
154: Circle, x = 81, y = 70, radius = 97, perimeter = 609.16, color = RED
155: Circle, x = 176, y = 101, radius = 96, perimeter = 602.88, color = ORANGE
156: Circle, x = 65, y = 54, radius = 96, perimeter = 602.88, color = BLUE
157: Rectangle, x_up_left = 3, y_up_left = 183, x_down_right = 175, y_down_right = 56, perimeter = 598, color = ORANGE
158: Circle, x = 74, y = 200, radius = 95, perimeter = 596.6, color = RED
159: Circle, x = 23, y = 194, radius = 94, perimeter = 590.32, color = LIGHT_BLUE
160: Circle, x = 88, y = 67, radius = 94, perimeter = 590.32, color = GREEN
161: Circle, x = 83, y = 85, radius = 94, perimeter = 590.32, color = GREEN
162: Rectangle, x_up_left = 3, y_up_left = 155, x_down_right = 147, y_down_right = 4, perimeter = 590, color = VIOLET
163: Circle, x = 106, y = 39, radius = 93, perimeter = 584.04, color = LIGHT_BLUE
164: Circle, x = 200, y = 189, radius = 93, perimeter = 584.04, color = GREEN
165: Rectangle, x_up_left = 42, y_up_left = 155, x_down_right = 184, y_down_right = 6, perimeter = 582, color = VIOLET
166: Circle, x = 22, y = 131, radius = 91, perimeter = 571.48, color = VIOLET
167: Circle, x = 148, y = 116, radius = 91, perimeter = 571.48, color = LIGHT_BLUE
168: Circle, x = 51, y = 95, radius = 91, perimeter = 571.48, color = RED
169: Circle, x = 115, y = 24, radius = 90, perimeter = 565.2, color = VIOLET
170: Circle, x = 152, y = 28, radius = 90, perimeter = 565.2, color = YELLOW
171: Circle, x = 32, y = 31, radius = 90, perimeter = 565.2, color = RED
172: Circle, x = 162, y = 102, radius = 90, perimeter = 565.2, color = VIOLET
173: Circle, x = 90, y = 61, radius = 90, perimeter = 565.2, color = LIGHT_BLUE
174: Circle, x = 46, y = 20, radius = 90, perimeter = 565.2, color = YELLOW
175: Rectangle, x_up_left = 51, y_up_left = 182, x_down_right = 151, y_down_right = 1, perimeter = 562, color = YELLOW
176: Rectangle, x_up_left = 34, y_up_left = 186, x_down_right = 139, y_down_right = 11, perimeter = 560, color = LIGHT_BLUE
177: Circle, x = 180, y = 146, radius = 89, perimeter = 558.92, color = YELLOW
178: Rectangle, x_up_left = 49, y_up_left = 172, x_down_right = 197, y_down_right = 43, perimeter = 554, color = GREEN
179: Circle, x = 140, y = 53, radius = 88, perimeter = 552.64, color = RED
180: Rectangle, x_up_left = 54, y_up_left = 191, x_down_right = 152, y_down_right = 13, perimeter = 552, color = LIGHT_BLUE
181: Rectangle, x_up_left = 51, y_up_left = 174, x_down_right = 159, y_down_right = 7, perimeter = 550, color = RED
182: Rectangle, x_up_left = 28, y_up_left = 184, x_down_right = 193, y_down_right = 75, perimeter = 548, color = VIOLET
183: Circle, x = 42, y = 118, radius = 87, perimeter = 546.36, color = VIOLET
184: Rectangle, x_up_left = 29, y_up_left = 160, x_down_right = 169, y_down_right = 28, perimeter = 544, color = BLUE
185: Triangle, x1 = 172, y1 = 12, x2 = 154, y2 = 179, x3 = 4, y3 = 43, perimeter = 541.278, color = LIGHT_BLUE
186: Circle, x = 120, y = 109, radius = 86, perimeter = 540.08, color = GREEN
187: Circle, x = 35, y = 112, radius = 86, perimeter = 540.08, color = RED
188: Rectangle, x_up_left = 48, y_up_left = 199, x_down_right = 197, y_down_right = 78, perimeter = 540, color = GREEN
189: Rectangle, x_up_left = 9, y_up_left = 98, x_down_right = 195, y_down_right = 17, perimeter = 534, color = YELLOW
190: Rectangle, x_up_left = 53, y_up_left = 187, x_down_right = 141, y_down_right = 8, perimeter = 534, color = ORANGE
191: Circle, x = 64, y = 129, radius = 84, perimeter = 527.52, color = LIGHT_BLUE
192: Circle, x = 61, y = 65, radius = 84, perimeter = 527.52, color = RED
193: Circle, x = 145, y = 90, radius = 84, perimeter = 527.52, color = GREEN
194: Circle, x = 58, y = 101, radius = 84, perimeter = 527.52, color = GREEN
195: Triangle, x1 = 188, y1 = 13, x2 = 192, y2 = 174, x3 = 36, y3 = 35, perimeter = 523.576, color = GREEN
196: Circle, x = 4, y = 134, radius = 83, perimeter = 521.24, color = BLUE
197: Circle, x = 9, y = 142, radius = 83, perimeter = 521.24, color = GREEN
198: Triangle, x1 = 191, y1 = 10, x2 = 21, y2 = 37, x3 = 65, y3 = 173, perimeter = 521.093, color = LIGHT_BLUE
199: Rectangle, x_up_left = 11, y_up_left = 177, x_down_right = 154, y_down_right = 61, perimeter = 518, color = RED
200: Triangle, x1 = 192, y1 = 167, x2 = 36, y2 = 125, x3 = 194, y3 = 8, perimeter = 517.171, color = ORANGE
201: Triangle, x1 = 35, y1 = 200, x2 = 173, y2 = 12, x3 = 63, y3 = 32, perimeter = 515.333, color = RED
202: Circle, x = 131, y = 47, radius = 82, perimeter = 514.96, color = BLUE
203: Circle, x = 1, y = 146, radius = 82, perimeter = 514.96, color = VIOLET
204: Rectangle, x_up_left = 96, y_up_left = 173, x_down_right = 196, y_down_right = 17, perimeter = 512, color = RED
205: Rectangle, x_up_left = 2, y_up_left = 188, x_down_right = 186, y_down_right = 117, perimeter = 510, color = ORANGE
206: Circle, x = 116, y = 46, radius = 81, perimeter = 508.68, color = VIOLET
207: Circle, x = 88, y = 200, radius = 81, perimeter = 508.68, color = YELLOW
208: Rectangle, x_up_left = 73, y_up_left = 200, x_down_right = 171, y_down_right = 44, perimeter = 508, color = ORANGE
209: Triangle, x1 = 70, y1 = 174, x2 = 41, y2 = 23, x3 = 197, y3 = 24, perimeter = 506.305, color = BLUE
210: Rectangle, x_up_left = 66, y_up_left = 130, x_down_right = 191, y_down_right = 3, perimeter = 504, color = GREEN
211: Circle, x = 130, y = 20, radius = 80, perimeter = 502.4, color = VIOLET
212: Circle, x = 132, y = 56, radius = 80, perimeter = 502.4, color = LIGHT_BLUE
213: Circle, x = 4, y = 36, radius = 80, perimeter = 502.4, color = BLUE
214: Rectangle, x_up_left = 1, y_up_left = 179, x_down_right = 105, y_down_right = 32, perimeter = 502, color = VIOLET
215: Rectangle, x_up_left = 52, y_up_left = 197, x_down_right = 114, y_down_right = 9, perimeter = 500, color = ORANGE
216: Triangle, x1 = 16, y1 = 142, x2 = 194, y2 = 145, x3 = 138, y3 = 13, perimeter = 498.966, color = LIGHT_BLUE
217: Rectangle, x_up_left = 16, y_up_left = 76, x_down_right = 191, y_down_right = 2, perimeter = 498, color = LIGHT_BLUE
218: Triangle, x1 = 29, y1 = 109, x2 = 197, y2 = 26, x3 = 168, y3 = 178, perimeter = 497.31, color = RED
